"id","label","topic","text","length_chars","length_words","quality_score","sentiment","source_detail","timestamp","plagiarism_score","notes"
"172","human","travel","As someone who follows travel, I believe it can be optimized with simple heuristics.","84","14","2.65","0.27","author_47","2024-08-09 00:24:58","0.092","personal_tone"
"162","human","finance","As someone who follows finance, I believe privacy concerns remain a top challenge.","82","13","3.17","-0.03","author_69","2025-09-06 06:18:19","0.161","personal_tone"
"70","ai","entertainment","The following summary on entertainment shows it improves efficiency significantly. the community response has been overwhelmingly positive the community response has been overwhelmingly positive","194","24","2.8","0.86","llama-3-small","2024-09-15 08:42:45","0.106",""
"219","ai","sports","The following summary on sports shows it improves efficiency significantly. I would love to hear others' thoughts on this.","122","19","4.5","0.21","gpt-4o-mini","2024-01-10 11:52:07","0.03",""
"92","human","food","In my experience, food often leads to the results are promising but preliminary.","80","13","2.77","0.87","author_83","2024-01-12 19:49:24","0.316",""
"271","ai","travel","The following summary on travel shows users report a mixed set of outcomes.","75","13","4.87","-0.01","claude-2","2025-02-28 20:39:41","0.005",""
"421","ai","food","A concise overview of food: the community response has been overwhelmingly positive. it requires more data for conclusive evidence","130","19","3.99","0.18","gpt-5-base","2025-06-30 10:59:22","0.001",""
"379","ai","lifestyle","A concise overview of lifestyle: it improves efficiency significantly. I would love to hear others' thoughts on this.","117","18","4.47","-0.27","bloomz-7b","2024-12-19 08:22:17","0.12",""
"126","ai","food","This article discusses food and highlights that privacy concerns remain a top challenge.","88","13","2.81","-0.47","claude-2","2023-06-14 09:55:55","0.067",""
"371","human","health","In my experience, health often leads to the results are promising but preliminary.","82","13","1.85","0.16","author_79","2025-03-15 12:19:19","0.28",""
"275","human","entertainment","I recently experienced entertainment in my day-to-day life and found that there are trade-offs to consider.","107","16","4.83","-0.49","author_10","2023-06-24 13:40:12","0.056","personal_tone"
"60","human","technology","In my experience, technology often leads to it requires more data for conclusive evidence. I would love to hear others' thoughts on this.","137","23","1.76","0.34","author_73","2023-02-24 05:31:27","0.052","personal_tone"
"121","ai","finance","This article discusses finance and highlights that privacy concerns remain a top challenge.","91","13","3.4","-0.06","bloomz-7b","2023-07-04 07:47:54","0.051",""
"13","human","finance","After trying several approaches related to finance, I noticed the community response has been overwhelmingly positive. Community feedback will shape future developments.","169","22","2.98","-0.28","author_52","2024-07-06 07:19:25","0.25","personal_tone"
"387","ai","entertainment","Research-style summary on entertainment suggests users report a mixed set of outcomes. Community feedback will shape future developments.","137","18","4.54","0.48","bloomz-7b","2025-04-03 08:35:07","0.083",""
"225","ai","science","This article discusses science and highlights that privacy concerns remain a top challenge.","91","13","3.86","0.89","bloomz-7b","2024-07-09 01:30:53","0.114",""
"237","human","finance","After trying several approaches related to finance, I noticed there are trade-offs to consider.","95","14","2.07","-0.07","author_53","2023-08-07 22:52:03","0.262","personal_tone"
"500","ai","travel","This article discusses travel and highlights that users report a mixed set of outcomes. costs can vary greatly depending on implementation it improves efficiency significantly","175","25","3.15","0.62","gpt-5-base","2023-07-02 16:02:27","0.01",""
"315","ai","food","This article discusses food and highlights that users report a mixed set of outcomes.","85","14","3.18","-0.02","gpt-5-base","2025-05-21 17:24:44","0.12",""
"158","ai","finance","Research-style summary on finance suggests it can be optimized with simple heuristics.","86","12","3.34","0.64","llama-3-small","2024-06-29 17:50:05","0.106",""
"365","human","food","After trying several approaches related to food, I noticed the community response has been overwhelmingly positive.","115","16","2.85","-0.44","author_65","2023-07-27 19:01:52","0.301","personal_tone"
"187","human","education","As someone who follows education, I believe it requires more data for conclusive evidence.","90","14","3.47","0.85","author_32","2024-07-24 19:17:47","0.047","personal_tone"
"268","human","food","As someone who follows food, I believe adoption increases with better education.","80","12","2.12","0.6","author_19","2025-06-08 11:46:53","0.021","personal_tone"
"231","ai","lifestyle","This article discusses lifestyle and highlights that it improves efficiency significantly.","90","11","4.16","-0.06","bloomz-7b","2023-03-06 19:27:28","0.06",""
"408","ai","lifestyle","A concise overview of lifestyle: there are trade-offs to consider. adoption increases with better education","107","15","4.46","0.11","gpt-4o-mini","2024-09-02 05:38:35","0.056",""
"374","human","entertainment","I recently experienced entertainment in my day-to-day life and found that the community response has been overwhelmingly positive. Community feedback will shape future developments.","181","24","1.62","0.3","author_87","2024-06-12 08:26:05","0.215","personal_tone"
"448","human","science","In my experience, science often leads to users report a mixed set of outcomes.","78","14","4.03","-0.43","author_90","2025-03-08 21:18:55","0.328",""
"344","human","finance","After trying several approaches related to finance, I noticed it requires more data for conclusive evidence. Further investigation is warranted.","144","20","2.93","0.08","author_50","2024-02-19 15:45:57","0.111","personal_tone"
"209","ai","food","Analysis indicates that food is associated with the community response has been overwhelmingly positive.","104","14","4.13","0.29","gpt-5-base","2023-11-04 11:40:30","0.09",""
"89","human","entertainment","After trying several approaches related to entertainment, I noticed it improves efficiency significantly.","105","13","4.7","-0.27","author_90","2023-03-06 23:08:03","0.288","personal_tone"
"463","ai","science","A concise overview of science: costs can vary greatly depending on implementation.","82","12","4.36","0.65","llama-3-small","2023-11-03 20:34:08","0.109",""
"132","human","sports","I recently experienced sports in my day-to-day life and found that the community response has been overwhelmingly positive.","123","18","2.39","-0.58","author_94","2025-03-18 02:27:35","0.121","personal_tone"
"125","ai","entertainment","A concise overview of entertainment: it requires more data for conclusive evidence.","83","12","2.91","-0.3","gpt-4o-mini","2024-09-11 05:02:20","0.131",""
"175","human","education","I recently experienced education in my day-to-day life and found that adoption increases with better education.","111","16","2.77","0.78","author_65","2023-04-25 02:14:54","0.29","personal_tone"
"415","human","finance","I recently experienced finance in my day-to-day life and found that users report a mixed set of outcomes. Implementation details matter a lot here.","147","24","1.61","0.36","author_80","2024-02-02 23:57:15","0.171","personal_tone"
"192","human","food","In my experience, food often leads to costs can vary greatly depending on implementation. Further investigation is warranted.","125","18","1.56","0.23","author_38","2024-08-21 21:05:09","0.252",""
"15","human","health","My personal opinion on health is that it improves efficiency significantly. Further investigation is warranted.","111","15","3.2","0.21","author_32","2025-01-10 20:47:27","0.202",""
"398","ai","food","Research-style summary on food suggests the community response has been overwhelmingly positive. I would love to hear others' thoughts on this.","143","21","3.41","-0.21","gpt-5-base","2023-11-07 00:23:03","0.0",""
"246","ai","health","Analysis indicates that health is associated with it improves efficiency significantly.","87","11","2.66","0.47","bloomz-7b","2024-08-13 22:50:51","0.012",""
"124","ai","lifestyle","A concise overview of lifestyle: it requires more data for conclusive evidence. Further investigation is warranted.","115","16","4.52","0.1","claude-2","2025-05-05 07:03:50","0.055",""
"139","human","finance","In my experience, finance often leads to adoption increases with better education. I would love to hear others' thoughts on this.","129","21","3.76","-0.06","author_20","2025-08-30 20:39:09","0.011","personal_tone"
"112","human","sports","My personal opinion on sports is that it requires more data for conclusive evidence. Further investigation is warranted. there are trade-offs to consider privacy concerns remain a top challenge privacy concerns remain a top challenge","233","35","2.18","0.56","author_31","2023-12-26 23:29:59","0.285",""
"52","human","sports","After trying several approaches related to sports, I noticed users report a mixed set of outcomes.","98","16","4.33","0.21","author_94","2024-05-10 16:55:31","0.152","personal_tone"
"113","human","finance","As someone who follows finance, I believe it requires more data for conclusive evidence. Further investigation is warranted.","124","18","3.79","-0.33","author_97","2025-03-02 22:51:46","0.173","personal_tone"
"10","ai","food","Analysis indicates that food is associated with there are trade-offs to consider.","81","12","4.88","0.71","claude-2","2023-09-27 18:13:32","0.114",""
"20","ai","finance","Analysis indicates that finance is associated with the results are promising but preliminary. I would love to hear others' thoughts on this.","140","22","3.86","0.52","claude-2","2023-02-28 01:49:32","0.088",""
"17","human","sports","I recently experienced sports in my day-to-day life and found that costs can vary greatly depending on implementation. Further investigation is warranted.","154","22","1.99","-0.32","author_10","2024-04-18 09:05:42","0.306","personal_tone"
"429","human","science","After trying several approaches related to science, I noticed adoption increases with better education. I would love to hear others' thoughts on this.","150","23","3.01","0.43","author_53","2024-08-12 03:15:43","0.039","personal_tone"
"1","human","technology","As someone who follows technology, I believe it requires more data for conclusive evidence. I would love to hear others' thoughts on this.","138","23","4.62","-0.47","author_28","2024-03-08 01:09:25","0.01","personal_tone"
"350","human","travel","I recently experienced travel in my day-to-day life and found that adoption increases with better education.","108","16","3.08","0.32","author_73","2023-11-10 21:16:08","0.053","personal_tone"
"106","human","finance","I recently experienced finance in my day-to-day life and found that adoption increases with better education.","109","16","3.82","0.13","author_97","2024-03-28 15:04:47","0.096","personal_tone"
"276","human","food","After trying several approaches related to food, I noticed adoption increases with better education.","100","14","3.01","0.38","author_13","2024-09-13 15:48:31","0.055","personal_tone"
"401","ai","education","Research-style summary on education suggests privacy concerns remain a top challenge.","85","11","3.21","0.51","gpt-4o-mini","2025-04-08 09:47:15","0.062",""
"483","ai","sports","Research-style summary on sports suggests it can be optimized with simple heuristics. Further investigation is warranted.","121","16","2.97","-0.02","gpt-5-base","2025-08-04 13:07:03","0.126",""
"434","ai","technology","This article discusses technology and highlights that the community response has been overwhelmingly positive. This could change as new data becomes available.","159","22","4.78","-0.06","bloomz-7b","2023-04-21 00:41:40","0.044",""
"425","ai","health","Analysis indicates that health is associated with it improves efficiency significantly.","87","11","3.54","0.7","claude-2","2025-06-09 08:15:16","0.112",""
"71","human","science","I recently experienced science in my day-to-day life and found that it can be optimized with simple heuristics. I would love to hear others' thoughts on this.","158","27","1.91","0.65","author_35","2024-05-25 10:37:34","0.178","personal_tone"
"321","ai","health","A concise overview of health: the community response has been overwhelmingly positive.","86","12","4.36","-0.57","claude-2","2024-02-18 15:00:46","0.005",""
"273","ai","technology","The following summary on technology shows it requires more data for conclusive evidence. I would love to hear others' thoughts on this.","135","22","4.47","0.48","bloomz-7b","2023-02-19 14:03:05","0.066",""
"442","human","finance","I recently experienced finance in my day-to-day life and found that users report a mixed set of outcomes.","105","18","2.43","0.25","author_88","2023-08-25 21:42:46","0.081","personal_tone"
"39","ai","entertainment","The following summary on entertainment shows it can be optimized with simple heuristics. I would love to hear others' thoughts on this.","135","22","4.65","0.73","claude-2","2025-03-08 15:28:44","0.033",""
"151","ai","finance","Research-style summary on finance suggests costs can vary greatly depending on implementation.","94","12","3.67","-0.2","llama-3-small","2023-09-11 05:07:45","0.015",""
"295","ai","sports","Analysis indicates that sports is associated with it can be optimized with simple heuristics.","93","14","3.26","0.18","gpt-4o-mini","2024-09-30 14:27:35","0.088",""
"456","human","entertainment","My personal opinion on entertainment is that adoption increases with better education. costs can vary greatly depending on implementation costs can vary greatly depending on implementation","188","26","4.64","0.63","author_9","2025-02-15 15:33:30","0.295",""
"164","ai","food","Analysis indicates that food is associated with the community response has been overwhelmingly positive.","104","14","4.3","-0.17","bloomz-7b","2024-08-10 19:46:37","0.057",""
"168","human","lifestyle","After trying several approaches related to lifestyle, I noticed the results are promising but preliminary.","106","15","1.63","0.78","author_5","2024-03-03 06:24:00","0.327","personal_tone"
"247","ai","technology","Research-style summary on technology suggests the community response has been overwhelmingly positive. Further investigation is warranted.","138","16","2.76","0.26","claude-2","2025-01-10 04:11:57","0.034",""
"207","human","sports","As someone who follows sports, I believe users report a mixed set of outcomes.","78","14","2.01","-0.35","author_10","2023-10-10 15:19:54","0.105","personal_tone"
"189","human","health","After trying several approaches related to health, I noticed the results are promising but preliminary.","103","15","3.18","0.7","author_2","2023-12-07 11:02:19","0.335","personal_tone"
"451","ai","science","This article discusses science and highlights that it can be optimized with simple heuristics.","94","14","3.91","0.39","gpt-5-base","2023-06-03 05:54:09","0.13",""
"471","ai","lifestyle","The following summary on lifestyle shows the results are promising but preliminary. Community feedback will shape future developments.","134","18","3.85","-0.52","gpt-4o-mini","2023-01-30 17:08:20","0.135",""
"146","human","finance","After trying several approaches related to finance, I noticed it can be optimized with simple heuristics. privacy concerns remain a top challenge","145","22","2.04","-0.35","author_67","2023-11-27 08:12:32","0.121","personal_tone"
"274","human","sports","In my experience, sports often leads to the community response has been overwhelmingly positive.","96","14","4.4","0.58","author_29","2024-08-14 23:42:03","0.265",""
"428","human","science","My personal opinion on science is that it can be optimized with simple heuristics. Community feedback will shape future developments.","133","20","3.94","0.54","author_51","2024-05-07 20:21:48","0.069",""
"473","ai","education","This article discusses education and highlights that privacy concerns remain a top challenge.","93","13","3.66","-0.4","llama-3-small","2025-04-12 17:02:57","0.015",""
"347","ai","food","Research-style summary on food suggests it improves efficiency significantly. it improves efficiency significantly","114","13","3.93","-0.01","llama-3-small","2024-07-14 03:05:57","0.046",""
"363","human","science","After trying several approaches related to science, I noticed it can be optimized with simple heuristics.","105","16","4.57","0.49","author_28","2025-04-21 10:19:12","0.332","personal_tone"
"43","human","education","In my experience, education often leads to there are trade-offs to consider.","76","12","2.96","-0.29","author_75","2024-03-06 14:10:49","0.317",""
"161","human","lifestyle","As someone who follows lifestyle, I believe there are trade-offs to consider. This could change as new data becomes available.","126","20","2.95","-0.29","author_95","2024-05-28 22:15:47","0.322","personal_tone"
"446","human","science","In my experience, science often leads to there are trade-offs to consider.","74","12","4.57","-0.23","author_6","2024-07-04 14:24:13","0.344",""
"482","human","technology","My personal opinion on technology is that privacy concerns remain a top challenge. This could change as new data becomes available.","131","21","2.32","0.45","author_49","2024-02-08 22:45:48","0.111",""
"438","human","food","As someone who follows food, I believe it can be optimized with simple heuristics. Implementation details matter a lot here.","124","20","3.87","0.71","author_74","2024-12-03 08:16:49","0.146","personal_tone"
"405","human","science","As someone who follows science, I believe the community response has been overwhelmingly positive. This could change as new data becomes available.","147","22","4.4","-0.42","author_57","2025-02-25 09:03:51","0.135","personal_tone"
"329","human","travel","My personal opinion on travel is that it can be optimized with simple heuristics.","81","14","1.97","0.02","author_90","2024-12-17 18:39:07","0.105",""
"176","human","lifestyle","As someone who follows lifestyle, I believe privacy concerns remain a top challenge. Community feedback will shape future developments.","135","19","3.88","0.48","author_58","2024-05-15 03:18:39","0.315","personal_tone"
"413","ai","entertainment","Research-style summary on entertainment suggests it improves efficiency significantly.","86","9","2.55","0.69","gpt-4o-mini","2025-03-05 22:34:50","0.036",""
"359","ai","sports","Research-style summary on sports suggests costs can vary greatly depending on implementation.","93","12","3.79","-0.04","llama-3-small","2025-07-18 08:06:55","0.077",""
"230","ai","sports","A concise overview of sports: it can be optimized with simple heuristics. I would love to hear others' thoughts on this.","120","21","4.37","0.44","bloomz-7b","2025-06-17 13:26:14","0.068",""
"479","human","lifestyle","My personal opinion on lifestyle is that it can be optimized with simple heuristics.","84","14","1.82","0.63","author_82","2025-06-27 21:08:42","0.316",""
"229","human","sports","My personal opinion on sports is that it improves efficiency significantly. the results are promising but preliminary","117","17","2.01","-0.12","author_74","2023-09-11 14:17:52","0.171",""
"101","ai","finance","This article discusses finance and highlights that the community response has been overwhelmingly positive. I would love to hear others' thoughts on this. costs can vary greatly depending on implementation","205","30","4.53","0.23","gpt-4o-mini","2024-08-23 20:26:48","0.084",""
"404","ai","travel","Analysis indicates that travel is associated with the community response has been overwhelmingly positive.","106","14","3.33","0.67","bloomz-7b","2025-09-01 05:19:08","0.008",""
"54","ai","finance","The following summary on finance shows the community response has been overwhelmingly positive.","95","13","3.2","0.29","claude-2","2025-06-20 10:03:31","0.083",""
"228","ai","science","Research-style summary on science suggests it requires more data for conclusive evidence.","89","12","4.26","-0.17","gpt-4o-mini","2023-10-01 18:43:45","0.148",""
"467","ai","science","A concise overview of science: it improves efficiency significantly.","68","9","3.35","0.13","llama-3-small","2025-06-13 19:03:52","0.047",""
"499","human","health","My personal opinion on health is that users report a mixed set of outcomes.","75","14","1.76","0.08","author_86","2023-10-11 15:32:45","0.242",""
"155","ai","sports","This article discusses sports and highlights that costs can vary greatly depending on implementation.","101","14","2.99","0.23","claude-2","2023-03-17 14:03:59","0.076",""
"252","human","technology","I recently experienced technology in my day-to-day life and found that it can be optimized with simple heuristics. This could change as new data becomes available.","163","26","3.93","-0.59","author_49","2023-12-10 00:03:11","0.266","personal_tone"
"159","ai","technology","Analysis indicates that technology is associated with costs can vary greatly depending on implementation.","105","14","3.96","0.6","bloomz-7b","2025-01-12 22:54:38","0.004",""
"272","ai","lifestyle","Research-style summary on lifestyle suggests the results are promising but preliminary. Implementation details matter a lot here. there are trade-offs to consider the results are promising but preliminary costs can vary greatly depending on implementation","255","35","4.96","-0.35","llama-3-small","2025-06-25 03:13:49","0.123",""
"45","human","entertainment","My personal opinion on entertainment is that the results are promising but preliminary. it can be optimized with simple heuristics users report a mixed set of outcomes","167","27","4.44","0.78","author_51","2024-09-29 19:26:48","0.009",""
"114","ai","lifestyle","Analysis indicates that lifestyle is associated with adoption increases with better education.","94","12","2.88","-0.5","llama-3-small","2024-03-28 22:59:16","0.045",""
"319","ai","finance","Research-style summary on finance suggests privacy concerns remain a top challenge. Further investigation is warranted.","119","15","3.67","0.14","llama-3-small","2023-06-19 02:43:32","0.113",""
"212","ai","travel","A concise overview of travel: there are trade-offs to consider. the results are promising but preliminary it requires more data for conclusive evidence","151","23","4.15","0.47","claude-2","2025-03-19 13:43:32","0.011",""
"109","human","finance","After trying several approaches related to finance, I noticed it can be optimized with simple heuristics.","105","16","4.42","0.61","author_6","2023-03-15 14:27:24","0.302","personal_tone"
"170","ai","travel","This article discusses travel and highlights that the results are promising but preliminary.","92","13","4.12","0.48","claude-2","2023-01-15 12:16:25","0.119",""
"80","human","finance","I recently experienced finance in my day-to-day life and found that users report a mixed set of outcomes.","105","18","3.89","0.15","author_82","2024-08-20 05:12:38","0.081","personal_tone"
"472","human","sports","I recently experienced sports in my day-to-day life and found that it improves efficiency significantly.","104","15","3.59","0.29","author_40","2025-05-06 16:13:56","0.216","personal_tone"
"85","human","travel","I recently experienced travel in my day-to-day life and found that the community response has been overwhelmingly positive.","123","18","1.82","-0.16","author_17","2025-02-04 15:07:40","0.061","personal_tone"
"9","human","sports","I recently experienced sports in my day-to-day life and found that adoption increases with better education.","108","16","3.14","-0.22","author_15","2024-07-20 00:25:04","0.238","personal_tone"
"33","ai","lifestyle","This article discusses lifestyle and highlights that privacy concerns remain a top challenge.","93","13","3.14","0.46","claude-2","2023-01-02 18:55:46","0.139",""
"100","human","sports","As someone who follows sports, I believe the community response has been overwhelmingly positive.","97","14","2.9","0.49","author_33","2023-11-17 15:32:16","0.109","personal_tone"
"436","human","technology","After trying several approaches related to technology, I noticed the results are promising but preliminary.","107","15","4.11","-0.57","author_39","2024-12-01 12:48:45","0.124","personal_tone"
"412","ai","food","Analysis indicates that food is associated with the community response has been overwhelmingly positive.","104","14","4.65","-0.36","llama-3-small","2024-06-27 05:38:39","0.067",""
"223","ai","lifestyle","Analysis indicates that lifestyle is associated with it improves efficiency significantly.","90","11","2.99","-0.02","bloomz-7b","2024-07-29 18:24:08","0.098",""
"29","ai","science","Research-style summary on science suggests it can be optimized with simple heuristics.","86","12","3.09","-0.36","gpt-4o-mini","2025-03-30 06:26:46","0.132",""
"288","ai","travel","This article discusses travel and highlights that costs can vary greatly depending on implementation.","101","14","3.28","0.66","gpt-5-base","2025-05-28 03:34:33","0.146",""
"395","human","health","After trying several approaches related to health, I noticed the community response has been overwhelmingly positive. Implementation details matter a lot here.","159","22","4.99","-0.44","author_50","2024-09-24 05:39:12","0.03","personal_tone"
"56","ai","education","The following summary on education shows it can be optimized with simple heuristics.","84","13","3.68","0.2","bloomz-7b","2024-03-11 20:02:20","0.05",""
"475","ai","entertainment","This article discusses entertainment and highlights that it improves efficiency significantly.","94","11","3.65","-0.34","gpt-5-base","2025-02-25 12:41:33","0.091",""
"485","ai","lifestyle","A concise overview of lifestyle: users report a mixed set of outcomes.","70","12","3.63","-0.07","claude-2","2023-07-10 15:27:55","0.091",""
"411","ai","food","Analysis indicates that food is associated with users report a mixed set of outcomes.","85","14","3.59","-0.16","gpt-5-base","2024-12-14 17:50:37","0.028",""
"49","ai","finance","Research-style summary on finance suggests adoption increases with better education.","84","10","4.44","-0.35","llama-3-small","2023-11-15 03:56:08","0.087",""
"474","ai","entertainment","The following summary on entertainment shows the results are promising but preliminary. Community feedback will shape future developments.","138","18","3.41","-0.32","llama-3-small","2025-07-28 12:01:36","0.118",""
"355","ai","finance","Research-style summary on finance suggests the community response has been overwhelmingly positive.","99","12","3.76","0.39","claude-2","2025-05-18 22:21:22","0.103",""
"34","human","food","I recently experienced food in my day-to-day life and found that it can be optimized with simple heuristics.","108","18","3.68","0.4","author_86","2023-05-08 10:56:03","0.177","personal_tone"
"36","ai","science","Analysis indicates that science is associated with it improves efficiency significantly.","88","11","3.95","0.38","gpt-5-base","2024-04-21 16:05:05","0.066",""
"64","ai","health","The following summary on health shows privacy concerns remain a top challenge.","78","12","4.57","-0.49","claude-2","2023-06-19 11:11:59","0.089",""
"400","ai","education","Research-style summary on education suggests it can be optimized with simple heuristics.","88","12","4.29","0.37","gpt-4o-mini","2025-04-28 13:46:32","0.033",""
"308","ai","travel","Research-style summary on travel suggests privacy concerns remain a top challenge. I would love to hear others' thoughts on this.","129","20","4.13","-0.57","bloomz-7b","2024-12-07 04:12:56","0.063",""
"235","human","sports","I recently experienced sports in my day-to-day life and found that there are trade-offs to consider. Implementation details matter a lot here. the results are promising but preliminary privacy concerns remain a top challenge the community response has been overwhelmingly positive","280","41","1.53","0.44","author_55","2025-04-16 04:23:26","0.346","personal_tone"
"490","ai","technology","Research-style summary on technology suggests the community response has been overwhelmingly positive. I would love to hear others' thoughts on this.","149","21","3.23","0.51","gpt-5-base","2023-01-28 10:26:33","0.073",""
"46","human","health","As someone who follows health, I believe it can be optimized with simple heuristics.","84","14","2.41","-0.11","author_49","2024-04-10 11:54:00","0.118","personal_tone"
"304","human","finance","In my experience, finance often leads to adoption increases with better education.","82","12","4.88","-0.03","author_48","2023-02-08 19:26:03","0.07",""
"178","human","lifestyle","I recently experienced lifestyle in my day-to-day life and found that there are trade-offs to consider.","103","16","3.39","-0.51","author_61","2025-07-04 02:30:46","0.345","personal_tone"
"220","ai","entertainment","Analysis indicates that entertainment is associated with privacy concerns remain a top challenge.","97","13","3.97","-0.08","llama-3-small","2025-05-15 16:40:12","0.093",""
"383","ai","lifestyle","Research-style summary on lifestyle suggests it improves efficiency significantly.","82","9","3.43","-0.13","bloomz-7b","2025-07-08 20:55:03","0.13",""
"297","ai","travel","The following summary on travel shows the results are promising but preliminary.","80","12","2.64","0.69","llama-3-small","2025-04-09 21:50:47","0.061",""
"22","human","sports","After trying several approaches related to sports, I noticed adoption increases with better education.","102","14","2.21","0.47","author_86","2023-09-02 09:40:14","0.139","personal_tone"
"249","ai","education","The following summary on education shows costs can vary greatly depending on implementation.","92","13","3.18","-0.48","gpt-4o-mini","2024-01-17 04:20:50","0.075",""
"310","human","sports","After trying several approaches related to sports, I noticed there are trade-offs to consider. there are trade-offs to consider","127","19","3.24","0.31","author_26","2025-03-07 09:34:31","0.291","personal_tone"
"200","human","education","After trying several approaches related to education, I noticed the results are promising but preliminary. it requires more data for conclusive evidence","152","22","4.65","0.25","author_41","2023-02-03 06:31:48","0.325","personal_tone"
"138","ai","lifestyle","Analysis indicates that lifestyle is associated with it can be optimized with simple heuristics.","96","14","2.64","0.41","gpt-5-base","2024-02-20 13:13:39","0.077",""
"25","ai","health","Analysis indicates that health is associated with users report a mixed set of outcomes. I would love to hear others' thoughts on this.","134","23","2.89","-0.18","llama-3-small","2023-08-04 12:29:02","0.031",""
"185","human","travel","After trying several approaches related to travel, I noticed users report a mixed set of outcomes. This could change as new data becomes available.","147","24","3.45","0.29","author_55","2025-01-22 06:22:35","0.219","personal_tone"
"206","ai","health","This article discusses health and highlights that it improves efficiency significantly. costs can vary greatly depending on implementation it can be optimized with simple heuristics it improves efficiency significantly","218","29","3.23","-0.02","gpt-5-base","2023-03-28 20:22:19","0.136",""
"135","human","travel","I recently experienced travel in my day-to-day life and found that costs can vary greatly depending on implementation.","118","18","1.94","-0.05","author_50","2025-06-29 14:33:51","0.26","personal_tone"
"300","ai","science","Analysis indicates that science is associated with users report a mixed set of outcomes.","88","14","3.06","0.71","claude-2","2024-03-06 12:03:46","0.056",""
"117","ai","science","This article discusses science and highlights that users report a mixed set of outcomes.","88","14","4.59","0.87","gpt-4o-mini","2023-03-28 18:22:12","0.097",""
"213","ai","lifestyle","Research-style summary on lifestyle suggests it can be optimized with simple heuristics.","88","12","4.23","0.22","claude-2","2025-03-20 13:05:24","0.105",""
"453","ai","technology","A concise overview of technology: the community response has been overwhelmingly positive.","90","12","2.51","0.72","bloomz-7b","2023-09-01 07:53:46","0.088",""
"430","ai","food","The following summary on food shows costs can vary greatly depending on implementation.","87","13","2.56","-0.14","bloomz-7b","2023-12-25 22:26:09","0.123",""
"465","human","lifestyle","In my experience, lifestyle often leads to adoption increases with better education. I would love to hear others' thoughts on this.","131","21","4.13","0.46","author_12","2023-11-19 01:09:05","0.095","personal_tone"
"232","human","entertainment","My personal opinion on entertainment is that it requires more data for conclusive evidence.","91","14","3.52","0.25","author_98","2024-05-11 12:30:54","0.313",""
"218","ai","entertainment","A concise overview of entertainment: the results are promising but preliminary.","79","11","4.14","-0.01","bloomz-7b","2025-01-25 22:21:32","0.132",""
"57","ai","travel","The following summary on travel shows it requires more data for conclusive evidence. Further investigation is warranted.","120","17","4.36","0.83","bloomz-7b","2024-12-07 06:44:27","0.029",""
"462","human","finance","My personal opinion on finance is that the results are promising but preliminary.","81","13","3.18","0.11","author_20","2023-02-06 23:30:26","0.048",""
"498","ai","travel","This article discusses travel and highlights that the results are promising but preliminary. I would love to hear others' thoughts on this. the results are promising but preliminary adoption increases with better education there are trade-offs to consider","255","38","4.27","-0.42","claude-2","2025-05-26 22:00:57","0.019",""
"369","human","sports","My personal opinion on sports is that the results are promising but preliminary. adoption increases with better education it requires more data for conclusive evidence","167","25","2.41","0.2","author_88","2024-08-01 13:18:45","0.214",""
"367","human","sports","In my experience, sports often leads to privacy concerns remain a top challenge. it can be optimized with simple heuristics the results are promising but preliminary the community response has been overwhelmingly positive","221","33","4.26","-0.03","author_18","2024-08-26 20:58:33","0.034",""
"182","human","education","My personal opinion on education is that the community response has been overwhelmingly positive. Further investigation is warranted.","133","18","4.04","-0.43","author_3","2025-04-08 15:15:50","0.215",""
"98","human","technology","In my experience, technology often leads to the community response has been overwhelmingly positive. the community response has been overwhelmingly positive there are trade-offs to consider there are trade-offs to consider","222","31","2.63","-0.38","author_75","2023-05-10 10:00:46","0.219",""
"115","human","food","I recently experienced food in my day-to-day life and found that privacy concerns remain a top challenge.","105","17","1.7","0.65","author_12","2023-03-20 23:28:17","0.302","personal_tone"
"279","human","travel","In my experience, travel often leads to there are trade-offs to consider.","73","12","2.89","0.13","author_70","2024-11-07 09:38:54","0.032",""
"119","ai","health","This article discusses health and highlights that costs can vary greatly depending on implementation.","101","14","3.13","0.68","llama-3-small","2025-09-14 21:56:37","0.131",""
"378","ai","science","Analysis indicates that science is associated with adoption increases with better education.","92","12","3.91","0.55","bloomz-7b","2025-02-14 12:22:00","0.144",""
"171","human","finance","In my experience, finance often leads to adoption increases with better education.","82","12","1.8","0.4","author_32","2023-07-09 05:07:10","0.167",""
"433","ai","science","Research-style summary on science suggests the community response has been overwhelmingly positive. it improves efficiency significantly it can be optimized with simple heuristics adoption increases with better education","220","28","4.77","0.19","gpt-5-base","2023-09-19 06:12:04","0.009",""
"55","human","health","In my experience, health often leads to the results are promising but preliminary.","82","13","3.92","0.37","author_12","2024-05-17 16:19:03","0.278",""
"177","human","entertainment","After trying several approaches related to entertainment, I noticed users report a mixed set of outcomes.","105","16","3.46","0.41","author_1","2023-11-12 00:47:33","0.139","personal_tone"
"328","human","finance","In my experience, finance often leads to there are trade-offs to consider.","74","12","2.63","0.72","author_98","2024-03-04 22:10:22","0.321",""
"195","human","technology","As someone who follows technology, I believe it can be optimized with simple heuristics.","88","14","3.98","-0.59","author_80","2024-06-01 16:36:10","0.131","personal_tone"
